1,0,42
0.996496,0.0836355,42
0.98601,0.166685,42
0.968615,0.248566,42
0.944432,0.328706,42
0.913632,0.406543,42
0.876429,0.48153,42
0.833086,0.553144,42
0.783904,0.620881,42
0.72923,0.684268,42
0.669446,0.74286,42
0.604971,0.796247,42
0.536257,0.844055,42
0.463785,0.885948,42
0.388064,0.921633,42
0.309623,0.950859,42
0.229012,0.973423,42
0.146797,0.989167,42
0.0635536,0.997978,42
-0.0201355,0.999797,42
-0.103684,0.99461,42
-0.186505,0.982454,42
-0.26802,0.963413,42
-0.347656,0.937622,42
-0.424857,0.905261,42
-0.49908,0.866556,42
-0.569806,0.821779,42
-0.63654,0.771244,42
-0.698813,0.715304,42
-0.75619,0.654353,42
-0.808267,0.588816,42
-0.854681,0.519153,42
-0.895107,0.445852,42
-0.92926,0.369427,42
-0.956901,0.290414,42
-0.977837,0.209366,42
-0.991922,0.12685,42
-0.999056,0.0434459,42
-0.999189,-0.0402629,42
-0.992321,-0.123689,42
-0.978499,-0.206249,42
-0.957821,-0.287364,42
-0.930432,-0.366465,42
-0.896522,-0.442998,42
-0.856331,-0.516427,42
-0.810139,-0.586238,42
-0.75827,-0.65194,42
-0.701088,-0.713074,42
-0.638994,-0.769212,42
-0.572421,-0.81996,42
-0.501838,-0.864962,42
-0.427738,-0.903903,42
-0.35064,-0.93651,42
-0.271086,-0.962555,42
-0.189632,-0.981855,42
-0.10685,-0.994275,42
-0.0233185,-0.999728,42
0.0603762,-0.998176,42
0.143648,-0.989629,42
0.225913,-0.974147,42
0.306595,-0.95184,42
0.385129,-0.922863,42
0.460964,-0.887419,42
0.533569,-0.845757,42
0.602435,-0.798168,42
0.667079,-0.744987,42
0.72705,-0.686585,42
0.781925,-0.623372,42
0.831322,-0.555791,42
0.874893,-0.484316,42
0.912334,-0.409446,42
0.943382,-0.331708,42
0.96782,-0.251645,42
0.985475,-0.169819,42
0.996225,-0.0868036,42
